МИР	6 ВОЛЯ	9 ДПС	10 БСП	11 ГЕРБ	17 ОП	Общо мандати
1. БЛАГОЕВГРАД	0	2	3	5	1	11
2. БУРГАС	0	2	4	6	2	14
3. ВАРНА	2	1	4	6	2	15
4. ВЕЛИКО ТЪРНОВО	0	1	3	3	1	8
5. ВИДИН	0	0	2	1	1	4
6. ВРАЦА	1	0	2	2	1	6
7. ГАБРОВО	0	0	1	2	1	4
8. ДОБРИЧ	0	1	2	2	1	6
9. КЪРДЖАЛИ	0	3	1	1	0	5
10. КЮСТЕНДИЛ	0	0	2	2	0	4
11. ЛОВЕЧ	0	1	2	2	0	5
12. МОНТАНА	0	1	2	2	0	5
13. ПАЗАРДЖИК	0	1	3	4	1	9
14. ПЕРНИК	0	0	2	2	0	4
15. ПЛЕВЕН	1	1	3	3	1	9
16. ПЛОВДИВ град	1	0	3	5	2	11
17. ПЛОВДИВ област	1	1	4	4	1	11
18. РАЗГРАД	0	2	1	1	0	4
19. РУСЕ	0	1	3	3	1	8
20. СИЛИСТРА	0	1	1	1	1	4
21. СЛИВЕН	1	0	2	2	1	6
22. СМОЛЯН	0	1	1	2	0	4
23. СОФИЯ 23 МИР	1	0	6	8	1	16
24. СОФИЯ 24 МИР	1	0	4	6	1	12
25. СОФИЯ 25 МИР	1	0	5	6	2	14
26. СОФИЯ област	1	0	3	3	1	8
27. СТАРА ЗАГОРА	1	1	4	4	1	11
28. ТЪРГОВИЩЕ	0	2	1	1	0	4
29. ХАСКОВО	0	1	3	3	1	8
30. ШУМЕН	0	2	1	2	1	6
31. ЯМБОЛ	0	0	2	1	1	4
Общо	12	26	80	95	27	240
