Party	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	Total
1. ДРОМ	189	388	145	90	46	184	37	85	18	63	54	127	251	73	79	58	164	57	87	32	316	28	98	230	683	390	269	54	353	88	97	156	4989
2. ДРБП	336	675	477	309	87	307	205	175	46	165	160	149	318	133	412	277	338	131	308	99	175	97	825	818	626	291	323	96	250	159	150	315	9232
3. ДНБ	333	344	395	190	140	147	75	198	70	170	130	147	228	131	242	238	277	70	206	46	135	118	440	337	443	325	237	71	143	175	79	364	6644
4. НР	3429	3176	5237	2174	1275	1264	858	1173	510	917	781	770	1518	817	2357	6128	2528	1935	1911	336	1216	685	15596	10986	7120	1729	2532	507	1433	740	1034	4312	86984
5. КН	300	410	326	233	70	137	102	147	51	121	117	109	323	154	204	348	309	52	173	76	124	96	303	289	278	194	238	56	217	95	96	197	5945
6. ВОЛЯ	3922	7797	24737	4844	1036	2241	3921	6253	838	2175	2904	2218	3827	3134	4305	7131	6436	1574	3778	2062	3018	2143	6817	5498	9400	4236	6401	2153	2640	4185	1527	2486	145637
7. БДЦ	188	201	122	119	0	97	73	0	54	137	69	75	117	81	140	84	139	43	96	69	90	58	122	125	123	196	159	38	100	85	0	130	3130
8. АБВ-Д21	2410	2656	3186	1990	436	2034	1301	1507	338	1222	864	912	1586	2030	3167	1790	2326	453	1863	829	1049	594	4203	3190	3046	1902	2238	1076	992	997	1072	1153	54412
9. ДПС	20880	19890	13060	7304	2632	3854	2227	8390	38940	529	8034	8411	14644	1279	7270	2917	9619	20358	7442	13510	4396	10447	1330	1136	1988	5680	12504	20000	14573	17633	1709	13390	315976
10. БСП	36029	45426	52516	38433	16422	30528	16059	24976	8409	22080	20391	22882	36037	21123	39184	40917	47849	9114	28637	13343	25717	16524	57310	43367	50831	37457	49217	12629	36110	19016	22622	14335	955490
11. ГЕРБ	58094	70347	69436	34230	12023	29086	23422	21374	14148	23804	22336	18886	42055	21539	38475	61074	49777	15200	32471	17902	28488	21516	75815	60513	67130	42941	54756	12867	37830	24194	17949	27614	1147292
12. ЗЕЛЕНИТЕ	430	500	567	285	63	213	230	197	96	204	145	147	246	219	250	477	357	104	336	105	201	139	1061	753	817	378	374	77	273	149	137	629	10159
13. ДОСТ	3661	10280	1712	425	725	117	218	2739	18718	182	442	94	796	180	1213	2280	4048	4472	2486	2945	1734	1609	296	279	231	772	2900	4257	4228	6644	366	19430	100479
14. Възраждане	1012	1528	3503	1359	374	574	588	1289	223	831	793	538	1056	547	1645	2043	1208	290	1363	336	662	301	3166	2494	2860	993	1504	340	1095	574	516	2291	37896
16. ДА БГ	1701	3209	5596	2210	372	850	984	1190	282	941	768	672	1405	1035	1480	6714	1896	450	1787	595	1034	536	22683	14100	9490	2281	2637	325	1278	725	538	11413	101177
17. ОП	14330	20018	19249	12534	3221	8296	5626	9323	2309	5291	6967	4851	10802	4909	15060	15747	14240	3443	13768	6035	8524	2691	16328	14743	16156	10474	15856	3991	10553	7125	7976	8077	318513
18. КОЙ	71	121	158	87	45	114	42	52	29	44	49	48	185	60	83	101	109	30	145	39	57	38	249	186	200	99	99	36	71	55	53	161	2916
19. НРП	91	145	199	100	21	48	54	0	0	36	0	63	92	49	100	68	96	59	104	58	61	0	125	118	114	83	105	54	89	66	48	79	2325
20. БНО	173	147	197	109	36	82	61	86	18	76	74	134	106	74	134	150	167	33	104	42	64	36	296	267	307	196	261	42	96	88	70	195	3921
21. РБ-ГН	4222	5054	4066	3612	1592	4859	944	1959	553	2402	1399	4926	3337	3071	4235	4291	6220	1103	3694	554	1825	787	9379	8128	5361	3848	3563	442	5495	2143	1154	3189	107407
Total Votes	151801	192312	204884	110637	40616	85032	57027	81113	85650	61390	66477	66159	118929	60638	120035	152833	148103	58971	100759	59013	78886	58443	216442	167557	177204	114465	156173	59111	117819	84936	57193	109916	3420524
Total Mandates	11	14	15	8	4	6	4	6	5	4	5	5	9	4	9	11	11	4	8	4	6	4	16	12	14	8	11	4	8	6	4	0	240
